id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
860863846344001586,chambre dans un appartement familial,6152743,Karen,,2e Arrondissement,45.76535789115319,4.8374352334055155,Private room,70,1,8,2023-12-11,1.45,1,88,8,6938113091116
860915812935602366,Appartement design à Lyon,323511152,Boris,,7e Arrondissement,45.7347824,4.832695999999999,Entire home/apt,200,3,2,2023-10-20,0.34,1,333,2,6938713669089
861252092848179297,appartement à la croix rousse,88492332,Noémie,,4e Arrondissement,45.774994049347576,4.8227050768287265,Entire home/apt,,3,10,2023-07-09,0.90,1,0,10,6938413525652
861446514330965485,Duplex spacieux en plein cœur de Croix-Rousse,507581147,Brigitte,,4e Arrondissement,45.777702,4.836693,Entire home/apt,,1,0,,,1,0,0,6938413534956
861533099351467423,Sur les toits de Lyon,367048694,Lucie,,2e Arrondissement,45.76039239163304,4.831601675730684,Entire home/apt,,1,1,2023-04-10,0.09,1,0,1,6938213555796
862200538958252051,Logez dans un ancien couvent !,508506283,Georges,,5e Arrondissement,45.753088706809756,4.784181147360238,Entire home/apt,135,14,0,,,1,227,0,6938513546227
862276467728999493,Appartement 2 personnes Lyon 5,38822267,Amaury,,5e Arrondissement,45.75306795339744,4.800439360744287,Entire home/apt,22,30,0,,,1,54,0,"Available with a mobility lease only (""bail mobilité"")"
862298784959978984,Charmant Duplex plein centre - Hotel de ville,24474227,Maxime,,1er Arrondissement,45.765176092947364,4.834194068068186,Entire home/apt,,6,0,,,1,0,0,1234567890123
862422561457162229,Grand appartement 7e avec terrasse cosy,33681131,Melanie,,7e Arrondissement,45.74247122360762,4.834981672006687,Entire home/apt,115,2,10,2023-12-10,1.32,1,78,10,6938713560213
862952892224395509,"Le Chic, charmant T2, Charpennes",459869193,Jessie,,6e Arrondissement,45.76799989979631,4.8616670333079055,Entire home/apt,67,2,24,2023-09-25,2.13,16,192,24,6938013559614
863154654326379096,"chambre-petit déjeuner, profitez de la terrasse",3223593,Mme,,7e Arrondissement,45.748257584612105,4.839577069273253,Private room,59,1,67,2024-03-17,5.95,1,112,67,
863725912287621455,"Canut authentic and design, two bedrooms Lyon 1st",316423644,Hosting Services,,1er Arrondissement,45.76977387399856,4.834761102260134,Entire home/apt,106,2,33,2024-03-03,3.29,108,195,33,6938313563885
863767601072351871,Le Lortet - new studio - cozy atmosphere,176904029,Romain,,7e Arrondissement,45.74194288664236,4.836606609966005,Entire home/apt,48,30,0,,,42,50,0,"Available with a mobility lease only (""bail mobilité"")"
863850599301751873,Quiet Nest in Bellecour,103831985,Philippe,,2e Arrondissement,45.7564928,4.8296469,Entire home/apt,53,30,2,2023-12-22,0.25,12,344,2,"Available with a mobility lease only (""bail mobilité"")"
864175105702383053,bnbgônes - Le Lombardi - METRO,412049310,Bnbgônes,,7e Arrondissement,45.75082440000001,4.8555198,Entire home/apt,56,1,19,2024-02-21,1.66,4,301,19,6938713117179
864383838186805543,Cosy studio en duplex proche Université,458222405,Guillaume,,7e Arrondissement,45.74947454396535,4.842420319573972,Entire home/apt,,2,37,2023-12-10,3.28,20,0,37,6938713306132
864934014073792092,Appartement proche Part Dieu,33512685,Sophie,,3e Arrondissement,45.762554036135924,4.868769886659513,Entire home/apt,85,3,0,,,1,246,0,6938313558442
865099530504939259,Magnifique T2 hypercentre de 52m2,60705141,Mickael,,2e Arrondissement,45.7619104,4.8331611,Entire home/apt,134,1,73,2024-03-17,6.38,1,93,73,6938213559261
865834889483391420,Loft avec terrasse,6718804,Pierre,,7e Arrondissement,45.75070817277094,4.843454826983629,Entire home/apt,,2,11,2023-12-10,1.03,1,0,11,6938713558827
866510476196953862,Tour panoramique vieux Lyon,7455307,Charlène,,5e Arrondissement,45.76316238126654,4.825707840929926,Entire home/apt,,2,1,2023-05-21,0.10,1,0,1,6938513559178
866523701983455281,Appartement lumineux à proximité de Jean Macé,61748286,Sophie Et Pierre,,7e Arrondissement,45.7468,4.84931,Entire home/apt,,2,3,2023-08-30,0.33,1,0,3,6938713586244
866645089457445630,The perfect place,361997436,Rosy,,2e Arrondissement,45.76446343380058,4.836360750196787,Entire home/apt,164,30,0,,,2,179,0,9231496600000
866657888798027995,Bel apparement coeur Vieux Lyon,50441762,Ulysse,,5e Arrondissement,45.76351818060749,4.82807489663331,Entire home/apt,210,2,6,2023-12-10,0.54,1,3,6,6938513560069
866670365263697210,Lovely apartment between Vieux Lyon and X Rousse,5099162,Marta,,5e Arrondissement,45.76726930584156,4.820663356387046,Entire home/apt,89,2,18,2024-03-03,1.64,1,92,18,6938113559486
866670404859211531,Appartement,157174110,Pierre-Alexandre,,6e Arrondissement,45.76665549245417,4.847695963781868,Entire home/apt,90,1,3,2023-09-30,0.48,1,359,3,6938613608641
867106772358100536,Appartement au coeur de Lyon,71421423,Sophie,,1er Arrondissement,45.76574166222401,4.834810497551434,Entire home/apt,,1,1,2023-07-06,0.11,1,0,1,6938113559090
867133513267438205,Le Duguesclin - en bail mobilité,337698666,Agence COCOONR / BOOK&PAY,,6e Arrondissement,45.7733633,4.8466721,Entire home/apt,101,1,0,,,39,319,0,6938013547439
867171821851594651,Studio entier neuf Lyon centre,62777762,Juliette,,7e Arrondissement,45.73383,4.82926,Entire home/apt,,1,11,2023-10-07,0.97,1,0,11,6938713560312
867322523925037981,Superbe Appartement 4 couchages,451047676,Aline,,3e Arrondissement,45.7444944,4.8777966,Entire home/apt,84,2,4,2023-07-27,0.40,25,157,4,6938313569231
867891654050556661,Studio calme - Bellecour,478365376,Noah,,2e Arrondissement,45.75677331393035,4.834557571163933,Entire home/apt,90,1,42,2024-03-10,4.00,1,189,42,6938213531646
867930719168033125,Dify Presqu'île - Bellecour,8067536,Nicolas Et Anne,,2e Arrondissement,45.75851920274153,4.829918043371963,Entire home/apt,,1,23,2023-09-18,2.10,10,0,23,6938212451748
